level,method,mae,rmse,mape_pct,n_series,n_folds,zero_targets,abs_err_sum,total_actual,wmape_pooled_pct
category,RM6_6month_180d,183.41666666666666,233.8600486673132,131.1565472287779,12,144,0,26412.0,53573.0,49.3009538386874
category,sarima_weekly,197.98023782727276,244.68253633835278,124.93471513961201,12,144,0,28509.15424712728,53573.0,53.21552693918071
category,rolling_mean_30,202.86111111111111,266.55533431147774,176.66687075442042,12,144,0,29212.000000000004,53573.0,54.527467194295646
category,arima_212,204.16310945844228,254.39513949893538,143.0704391484854,12,144,0,29399.48776201569,53573.0,54.87743408436281
category,weekly_hurdle_12w,204.30307539682542,246.21697327496565,141.7228209776158,12,144,0,29419.64285714286,53573.0,54.915055825029135
category,arima_111,204.40487034460077,254.24668591682618,140.81409831823314,12,144,0,29434.30132962251,53573.0,54.94241750438189
category,RM3_3month_90d,205.41435185185185,246.80170012460033,137.3834301570395,12,144,0,29579.666666666664,53573.0,55.21375817420466
category,sba,206.81433963434918,264.54181624237793,142.52367015879676,12,144,0,29781.26490734628,53573.0,55.59006385184008
category,extra_trees,209.69171054685856,259.89326118259527,124.51718833270557,12,144,0,30195.606318747632,53573.0,56.363478466293905
category,random_forest,211.15045987252935,263.0580146044368,124.9968298355863,12,144,0,30405.666221644227,53573.0,56.75557878342491
category,prophet_plain,211.28953887707428,274.3840368470843,142.05792907365347,12,144,0,30425.693598298694,53573.0,56.792962123268616
category,rolling_mean_60,213.96180555555554,259.5800310896419,143.41351799725425,12,144,0,30810.5,53573.0,57.51124633677412
category,croston,215.04716200958967,275.4479446023446,150.79394599755835,12,144,0,30966.79132938091,53573.0,57.80298159405094
category,gradient_boosting,215.84842090124425,269.4992378796309,130.42599190196105,12,144,0,31082.172609779172,53573.0,58.01835366654691
category,ets,217.11036660029674,275.104126212738,144.94769149144514,12,144,0,31263.892790442726,53573.0,58.35755472055462
category,prophet_cal,221.02816272571079,282.3662667333202,142.4814989994316,12,144,0,31828.055432502355,53573.0,59.410627428933154
category,xgboost,222.9751927041345,275.67301011778653,131.96479195581477,12,144,0,32108.42774939537,53573.0,59.93397373564178
category,lightgbm,226.07445421105433,276.71356259258187,130.38707212662518,12,144,0,32554.721406391825,53573.0,60.7670307923615
category,ridge,229.2696995981199,298.68008067551006,127.30557735051383,12,144,0,33014.836742129264,53573.0,61.62588755927289
category,ewma_a0.1,235.17538248446635,329.431891274389,153.58853535335197,12,144,0,33865.255077763155,53573.0,63.213288555360265
category,tsb,238.985575771732,322.18035446227424,158.22583979110013,12,144,0,34413.922911129404,53573.0,64.23743846924646
category,rolling_q75_30,240.6909722222222,328.14088796540307,190.440001984122,12,144,0,34659.5,53573.0,64.69583558882273
category,rolling_mean_14,250.43650793650792,355.36523446426526,155.84310769283783,12,144,0,36062.857142857145,53573.0,67.31535874947669
category,rolling_median_30,253.375,336.62694254293984,111.20877925051883,12,144,0,36486.0,53573.0,68.10520224740074
category,seasonal_naive_7,271.0416666666667,359.2380110516796,147.19652853695519,12,144,0,39030.0,53573.0,72.85386295335337
category,ewma_a0.3,341.5288869030763,525.8407177060279,176.35338598545061,12,144,0,49180.15971404299,53573.0,91.8002719915685
category,naive,682.7291666666666,1162.2155611120097,337.2196231513223,12,144,0,98313.0,53573.0,183.51221697496874
